ID,Unnamed: 0,Query,Description
388,388,Java Developer,"<P><STRONG>As a member of the Web and Portal Development Team of the BHS Information Services Department in Louisville, KY the Java Developer- Intermediate designs, develops, and implements web-based Java applications to support business requirements.</STRONG>  Follows approved life cycle methodologies, creates design solutions and performs program coding and testing.  Resolves technical issues through debugging, research, and investigation.  Relies on extensive experience and judgment to plan and accomplish software development goals and user-required deliverables.  <BR>\r<BR>\r</P>\r<P>Designs and develops high quality, scalable and robust solutions using Java, Spring, Hibernate, JSPs, XML and/or SQL as well as other internal tools.  Works with senior Java developers, leads, web designers, project managers or database developers, to deliver a rich experience for users through a commissioning and deployable metadata system.</P>"
395,395,Java Developer,<BR>\r<TABLE border=0 cellSpacing=0 cellPadding=0 width=565>\r    <TBODY>\r        <TR height=15>\r            <TD colSpan=5>HSI & The Department of Commerce (DOC) is seeking to fill a short term approx. (6) month contractor assignment to provide computer programming services relating to the implementation of secure web (Java EE) interface for the data entry of 1st and 2nd report of injury for workers compensation claims; and a solution for the electronic document submission process. The selected candidate will also provide complete coverage research; including a data feed from the Rate Bureau. Provide a web based public facing solution for the purpose of electronic payments to process WC forms requiring fee processing payment up-front at time of electronic document submission. This candidate will work with agency staff to develop test plans and ensure successful testing and validation of all developed solutions.</TD>\r        </TR>\r        <TR>\r            <TD colSpan=5>\r            <P> </P>\r            <P><STRONG>job updated on 4-5-12</STRONG></P>\r            </TD>\r        </TR>\r        <TR height=15>\r            <TD class=Header colSpan=5></TD>\r        </TR>\r        <TR height=15>\r            <TD colSpan=5> </TD>\r        </TR>\r    </TBODY>\r</TABLE>
713,713,Java Developer,"<strong>Application Developer-Senior-Java<br>\r<br>\r</strong>\r<p><span><strong>Summary:</strong></span></p>\r<p><span>This position will be responsible for creation, modification, and support of business critical applications in Merrill Corporation.  The position may work with internal and external clients to interpret, document and analyze the technical requirements for the various systems.  The position may work as part of a team or independently as complexity, skill set and Merrill needs demand.</span></p>\r<p></p>\r<p><b>Essential Duties and Responsibilities</b></p>\r<ul>\r    <li><span>Operate autonomously as well as part of a team based on the scope and the requirements of the programming projects. </span>\r    <li><span>Ensure all requirements are understood, documented and analyzed appropriately for maximum efficiency in the coding, test and deploy process.</span>\r    <li><span>Adhere to the Merrill Project Life Cycle, development methodology,  ITIL, ISO program standards and IT controls for best coding practices, testing, systems acceptance, change control, and security. </span>\r    <li><span>Utilize new technologies and practices to make our solutions more feature rich and improve our ability to deliver cost effective and time sensitive solutions. </span>\r    <li><span>Adhere to project timelines and deliverable, effective communication of changes or disruptions to the schedule with a focus on expectation alignment. </span></li>\r</ul>\r<p></p>"
4631,4631,Java Developer,"<b>Responsibilities:</b> Kforce is seeking a mid-to-senior-level Java Developer with at least 5 years of professional experience for an Eagan, Minnesota client.  The Java Developer will be responsible for front end, UI development utilizing HTML, CSS, JavaScript, and JQuery.\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~EQG~1129389T1~99"
4873,4873,Java Developer,"<b>Responsibilities:</b> Our client is looking to hire a Java Developer/Architect for a contract to hire role in Fenton, Missouri.\r\n\r\nKforce Technology has been helping Saint Louis Information Technology Professionals reach their career goals in contract and direct-hire positions for over 30 years. We offer competitive salary and hourly compensation plans and benefits packages that include family medical coverage, vision and dental, 401K, an Employee Stock Purchase Plan and PTO availability. Our goal is to become a reliable, career-long resource to the IT Professionals we serve.\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~EQG~1129001T1~99"
5020,5020,Java Developer,"<b>Responsibilities:</b> The Java Developer will work with a team in support of technical projects undertaken to grow our Dodgeville, Wisconsin client's business. The key to success will be the ability to maintain a sense of urgency in being quality-focused, results-driven and self-motivated while developing high-quality technical solutions to business needs. In addition, the developer would be responsible for learning new technologies and maintaining excellent documentation of work products.\r\nDuties:\r\n<UL><LI>Analysis and design of custom solutions or customizations of standard solutions</li>\r\n<li>Develop custom code</li>\r\n<li>Unit test custom application development</li>\r\n<li>Develop integration interfaces and logic</li>\r\n<li>Provide input into technical design documentation</li>\r\n<li>Support other technical project resources related to application development</li>\r\n<li>Perform transition/handover for all aspects of solutions developed</li>\r\n<li>Provide detail design and documentation of each component of the solution; such as data migration, integration, and custom development</li>\r\n<li>Support of existing applications</li>\r\n</ul>\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~EQG~1139616T1~99"
5085,5085,Java Developer,"<b>Responsibilities:</b> Kforce is seeking a hands-on Java Developer for a Fortune 500 Company in Metro Atlanta, Georgia.\r\n\r\nMain Duties:\r\n<UL><LI>Designs and codes from specifications, analyzes, evaluates, tests, debugs, documents, and implements moderately complex software applications</li>\r\n<li>Competent to work at the highest technical level of all phases of applications programming activities</li>\r\n<li>Monitor program execution for expected performance</li>\r\n<li>Modifies, installs, and prepares technical documentation for system software applications</li>\r\n<li>May customize purchased applications, and assists in maintaining program libraries and technical manuals</li>\r\n<li>Provides high level written communications such as white papers, decision documents, or research papers</li>\r\n</ul>\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~EQG~1140328T1~99"
5107,5107,Java Developer,"<b>Responsibilities:</b> Our client, located in Lake Oswego, Oregon, is seeking a Java Developer of Web based services.\r\n\r\nMain Duties:\r\n<UL><LI>Development experience in Oracle a plus</li>\r\n<li>Translates detailed design into web services</li>\r\n<li>Supports testing, debugging, and refining the computer software to produce the required product</li>\r\n<li>Helps prepare both program-level and user-level documentation</li>\r\n</ul>\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~WQG~1140469T1~99"
5217,5217,Java Developer,"<b>Responsibilities:</b> Please note; the selected candidate must be willing to split time between New York, New York and Wilton, Connecticut. This position for a strong Java Developer with an Oracle (PL/SQL) background. The Developer will be responsible for designing, architecting, and implementing comprehensive business-facing solutions. The Developer should be hands-on and proficient in programming skills. He / She will also be expected to mentor team members and work with different development teams; the off-shore team, and DBAs as well as Database and ETL Developers. The successful candidate should be a strong believer in code reviews and testing practices along with efficient development.\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~AQG~1140952T1~99"
5244,5244,Java Developer,"<b>Responsibilities:</b> The Java Developer analyzes, designs, implements and supports web-related applications support of company's internet/intranet strategy and maintains e-commerce or business-related applications. These positions can be filled in either near Minneapolis, Minnesota or Brookfield, Wisconsin.\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~EQG~1141198T1~99"
